Amostra,Acel_X,Acel_Y,Acel_Z,Giro_X,Giro_Y,Giro_Z,Temperatura
1,3.870,-3.691,10.078,2.237,8.519,10.573,16.01
2,3.949,-0.163,10.382,16.107,-2.137,-2.496,16.25
3,0.022,2.038,9.484,-8.771,7.931,-1.985,15.92
4,-4.563,-2.769,10.548,4.550,-1.038,8.031,16.15
5,-0.877,5.942,8.622,0.771,-2.985,-12.183,15.92
6,0.388,-0.903,9.673,-7.053,7.725,10.473,16.20
7,-2.472,-1.442,10.289,15.015,0.985,2.015,16.06
8,-3.628,2.795,9.707,-10.321,-3.153,-6.748,16.25
9,5.734,-4.175,9.638,3.214,7.542,11.115,16.15
10,-1.178,4.122,9.259,7.809,4.931,-11.191,16.06
11,-0.553,-0.742,10.529,-7.351,-1.420,9.000,15.87
12,-1.030,-1.068,10.117,15.718,4.473,-0.870,16.25
13,-6.023,4.342,8.737,-10.763,0.695,-7.015,16.25
14,4.812,-3.279,9.678,2.740,4.221,9.756,16.25
15,5.662,2.673,10.018,8.931,7.328,-9.916,16.25
16,-6.632,0.881,10.943,-8.885,-4.580,6.420,16.15
17,-0.019,-1.705,11.199,11.718,-4.939,3.542,16.15
18,0.002,2.335,9.218,-7.473,8.580,-5.008,16.15
19,-3.516,-1.545,9.638,-5.809,1.038,8.656,15.82
20,3.885,2.972,9.477,10.618,-1.427,-9.244,16.15
21,1.729,-0.637,10.332,-6.924,5.679,3.725,16.06
22,5.461,-3.252,10.301,5.405,7.366,8.008,16.01
23,-1.940,6.023,7.944,-0.595,4.328,-13.756,16.01
24,-3.442,-1.116,10.933,-6.809,-5.366,9.282,16.06
25,4.970,-2.505,10.940,15.038,5.359,0.687,16.20
26,-3.942,3.700,8.581,-9.328,6.183,-4.626,15.73
27,-3.626,-2.824,10.382,0.313,-5.473,8.779,16.15
28,4.984,3.511,8.390,7.802,3.038,-10.336,16.25
29,-0.764,1.504,10.667,-8.107,6.023,6.466,16.06
30,-4.012,-1.871,11.204,10.954,-5.382,2.939,16.15
31,2.457,2.740,9.333,-6.969,1.992,-8.550,15.82
32,-3.054,-2.417,10.174,-0.718,0.832,8.656,15.92
33,0.740,4.642,9.942,7.145,-1.443,-9.710,16.25
34,2.515,-0.251,10.437,-6.450,6.221,6.420,15.92
35,-4.927,-1.633,11.254,11.687,-2.779,2.321,15.92
36,-5.566,4.833,9.180,-10.191,-3.870,-12.420,16.39
37,3.087,-2.500,10.500,-0.756,7.198,10.626,16.15
38,1.073,1.562,10.598,13.802,5.115,-6.412,16.15
39,-3.367,1.186,11.218,-9.183,-4.809,4.160,16.15
40,3.042,-2.718,10.945,8.802,2.427,6.840,16.01
41,-3.219,5.338,8.215,-9.565,4.176,-11.802,16.06
42,-4.972,-2.067,10.962,-6.641,-6.656,11.771,16.25
43,-3.803,-0.783,10.176,15.267,-4.878,1.023,15.87
44,-0.788,2.646,9.616,-8.481,1.924,-5.229,16.15
45,0.891,-2.989,10.143,2.771,7.519,9.924,15.92
46,-3.700,5.794,8.318,2.420,-2.931,-14.153,16.25
47,-0.601,-0.390,10.581,-7.237,-0.832,9.847,16.06
48,1.382,-1.947,10.723,15.908,6.817,1.832,16.01
49,-5.841,3.257,8.687,-11.183,0.061,-7.206,15.92
50,3.008,-2.977,10.323,2.740,-2.122,10.267,16.15
51,4.625,2.788,8.694,7.237,7.458,-11.038,16.25
52,-6.902,1.106,11.146,-10.053,-0.672,6.008,16.01
53,3.494,-2.989,10.979,14.733,1.550,1.351,16.06
54,-5.226,2.738,9.417,-9.817,4.107,-3.763,16.20
55,-4.309,-2.551,10.093,1.969,-4.229,8.969,16.15
56,4.936,4.031,7.571,3.229,5.519,-11.527,16.39
57,1.109,0.517,10.021,-6.985,8.458,7.550,15.92
58,-4.115,-1.679,11.376,13.618,-5.481,0.573,16.15
59,0.354,1.645,10.054,-10.893,-1.649,-7.420,16.06
60,0.994,-2.896,10.232,3.511,5.771,10.702,15.92
61,-3.298,4.141,9.468,8.565,0.443,-10.611,16.15
62,2.187,-1.061,10.782,-7.321,2.260,8.519,16.06
63,4.261,-2.282,10.849,13.527,5.992,2.962,16.15
64,2.848,3.513,8.725,-5.298,8.878,-10.443,15.92
65,-6.395,-1.423,10.387,-5.580,-1.954,11.427,15.92
66,-1.336,1.320,10.330,14.122,-5.176,-5.840,16.20
67,1.262,1.176,9.544,-7.229,6.176,1.969,16.01
68,-1.209,-1.897,9.652,6.260,2.137,7.115,16.25
69,-4.472,5.176,9.238,-5.947,-3.527,-13.626,15.92
70,2.280,-2.400,10.253,-3.069,4.221,13.206,16.15
71,0.369,0.707,10.066,14.519,4.221,-3.908,16.25
72,-6.902,1.803,9.997,-10.893,-4.015,-3.725,15.82
73,3.130,-2.874,10.330,6.924,2.817,9.489,15.92
74,-2.177,5.607,7.808,-5.504,3.687,-12.748,16.15
75,1.408,-2.117,10.466,-2.038,0.282,12.511,16.01
76,4.809,0.105,9.961,15.427,5.435,-2.885,15.92
